annee,code_insee,commune,is_thierache_centre,apl_generalistes,apl_generalistes_moins65,pop_standardisee,pop_totale
2023,38452,Saint-Romain-de-Surieu,False,2.054,1.734,402.044,433
2023,38453,Saint-Romans,False,3.931,3.644,1810.387,1801
2023,38454,Saint-Sauveur,False,2.745,2.458,2234.916,2115
2023,38455,Saint-Savin,False,4.015,3.874,4180.291,4264
2023,38456,Châtel-en-Trièves,False,2.943,2.943,518.251,491
2023,38457,Saint-Siméon-de-Bressieux,False,2.992,2.818,3051.23,3029
2023,38458,Saint-Sorlin-de-Morestel,False,2.248,1.983,604.886,603
2023,38459,Saint-Sorlin-de-Vienne,False,1.719,1.565,932.037,954
2023,38460,Saint-Sulpice-des-Rivoires,False,2.199,1.75,434.507,429
2023,38462,Saint-Théoffrey,False,2.499,2.499,555.644,586
2023,38463,Saint-Vérand,False,2.624,2.337,1820.463,1738
2023,38464,Saint-Victor-de-Cessieu,False,2.246,2.207,2110.669,2197
2023,38465,Saint-Victor-de-Morestel,False,1.12,0.651,1091.328,1116
2023,38466,Saint-Vincent-de-Mercuze,False,3.572,3.511,1630.963,1508
2023,38467,Salagnon,False,2.59,2.465,1378.249,1459
2023,38468,Salaise-sur-Sanne,False,2.67,2.109,4529.399,4505
2023,38469,La Salette-Fallavaux,False,5.707,5.707,80.085,77
2023,38470,La Salle-en-Beaumont,False,1.3,1.3,373.699,346
2023,38471,Le Sappey-en-Chartreuse,False,1.863,1.855,1069.593,1137
2023,38472,Sarcenas,False,1.826,1.826,243.731,242
2023,38473,Sardieu,False,2.869,2.753,1099.479,1174
2023,38474,Sassenage,False,3.823,3.422,11646.099,11660
2023,38475,Satolas-et-Bonce,False,3.585,3.453,2372.826,2520
2023,38476,Savas-Mépin,False,2.415,2.163,869.93,886
2023,38478,Séchilienne,False,1.38,1.351,1014.06,1024
2023,38479,Porte-des-Bonnevaux,False,3.01,3.01,2016.7,2071
2023,38480,Septème,False,2.514,2.361,2087.328,2143
2023,38481,Sérézin-de-la-Tour,False,3.17,3.092,1069.301,1133
2023,38483,Sermérieu,False,1.416,1.227,1610.236,1644
2023,38484,Serpaize,False,2.968,2.812,1968.222,2108
2023,38485,Seyssinet-Pariset,False,7.187,6.506,12025.66,11753
2023,38486,Seyssins,False,4.948,4.495,8287.077,7997
2023,38487,Seyssuel,False,3.146,2.903,2119.747,2080
2023,38488,Siccieu-Saint-Julien-et-Carisieu,False,2.169,2.149,579.133,593
2023,38489,Siévoz,False,3.306,3.306,143.923,133
2023,38490,Sillans,False,3.395,3.33,1885.122,1926
2023,38492,Sinard,False,1.539,1.483,681.025,714
2023,38494,Soleymieu,False,2.059,2.022,774.468,802
2023,38495,La Sône,False,3.961,3.783,593.793,593
2023,38496,Sonnay,False,2.083,1.822,1261.2,1276
2023,38497,Sousville,False,5.027,5.027,156.922,145
2023,38498,Succieu,False,2.22,2.152,725.77,761
2023,38499,Susville,False,5.164,5.164,1156.366,1162
2023,38500,Têche,False,2.505,2.179,582.018,591
2023,38501,Tencin,False,4.556,4.461,1972.667,2140
2023,38503,La Terrasse,False,3.877,3.816,2520.043,2481
2023,38504,Theys,False,2.885,2.885,2014.674,2006
2023,38505,Thodure,False,2.375,2.201,792.433,790
2023,38507,Tignieu-Jameyzieu,False,3.226,3.108,7428.267,7815
2023,38508,Torchefelon,False,1.742,1.665,759.643,822
2023,38509,La Tour-du-Pin,False,4.314,4.164,8132.778,8138
2023,38511,Le Touvet,False,5.676,5.45,3031.089,3076
2023,38512,Tramolé,False,2.155,1.967,747.102,794
2023,38513,Treffort,False,0.873,0.845,257.985,272
2023,38514,Tréminis,False,0.981,0.981,213.664,193
2023,38515,Trept,False,2.916,2.787,2054.316,2135
2023,38516,La Tronche,False,6.356,5.804,6324.309,6470
2023,38517,Tullins,False,3.301,3.034,7880.034,7706
2023,38518,Valbonnais,False,1.585,1.585,562.479,514
2023,38519,Valencin,False,2.458,2.326,2726.719,2891
2023,38520,Valencogne,False,1.576,1.398,668.447,687
2023,38521,La Valette,False,1.721,1.721,65.745,62
2023,38522,Valjouffrey,False,0.0,0.0,189.914,155
2023,38523,Varacieux,False,2.096,1.879,856.861,845
2023,38524,Varces-Allières-et-Risset,False,3.633,3.388,7796.872,8287
2023,38525,Vasselin,False,1.913,1.649,449.473,462
2023,38526,Vatilieu,False,1.257,1.051,375.416,361
2023,38527,Vaujany,False,1.786,1.786,352.315,348
2023,38528,Vaulnaveys-le-Bas,False,2.667,2.457,1333.193,1360
2023,38529,Vaulnaveys-le-Haut,False,2.82,2.603,4003.974,4000
2023,38530,Vaulx-Milieu,False,4.453,4.237,2412.024,2505
2023,38531,Velanne,False,2.695,2.116,545.953,563
2023,38532,Vénérieu,False,3.017,2.904,885.678,983
2023,38533,Venon,False,0.901,0.826,814.897,801
2023,38535,Vernas,False,1.541,1.485,246.566,265
2023,38536,Vernioz,False,1.985,1.769,1417.556,1469
2023,38537,La Verpillière,False,4.755,4.533,7112.758,7500
2023,38538,Le Versoud,False,3.529,3.148,4808.415,4973
2023,38539,Vertrieu,False,3.632,3.088,585.943,602
2023,38540,Veurey-Voroize,False,4.662,4.201,1406.238,1401
2023,38542,Veyssilieu,False,2.684,2.559,322.712,326
2023,38543,Vézeronce-Curtin,False,2.059,1.692,2187.554,2193
2023,38544,Vienne,False,3.734,3.417,30825.503,31051
2023,38545,Vif,False,2.627,2.492,8541.079,8584
2023,38546,Vignieu,False,1.653,1.502,927.653,946
2023,38547,Villard-Bonnot,False,3.247,2.93,7147.043,7331
2023,38548,Villard-de-Lans,False,6.283,6.283,4495.67,4322
2023,38549,Villard-Notre-Dame,False,0.0,0.0,28.082,28
2023,38550,Villard-Reculas,False,7.127,7.127,67.188,65
2023,38551,Villard-Reymond,False,0.0,0.0,42.721,41
2023,38552,Villard-Saint-Christophe,False,3.518,3.518,401.202,400
2023,38553,Villefontaine,False,3.909,3.662,16954.038,19083
2023,38554,Villemoirieu,False,2.867,2.763,1848.648,1856
2023,38555,Villeneuve-de-Marc,False,2.839,2.587,1147.883,1161
2023,38556,Ville-sous-Anjou,False,2.654,2.19,1269.479,1190
2023,38557,Villette-d'Anthon,False,1.793,1.722,5146.653,5212
2023,38558,Villette-de-Vienne,False,3.149,2.971,1855.678,1934
2023,38559,Vinay,False,2.586,2.254,4568.013,4435
2023,38560,Val-de-Virieu,False,2.679,2.424,1620.352,1535
2023,38561,Viriville,False,2.576,2.402,1671.238,1706
2023,38562,Vizille,False,2.918,2.763,7441.897,7293
2023,38563,Voiron,False,3.893,3.582,21501.983,20891
2023,38564,Voissant,False,1.979,1.627,248.849,236
2023,38565,Voreppe,False,4.207,3.8,9896.047,9758
2023,38566,Vourey,False,4.687,4.275,1744.272,1687
2023,38567,Chamrousse,False,9.643,9.643,373.325,414
2023,39001,Abergement-la-Ronce,False,3.72,3.53,822.013,841
2023,39002,Abergement-le-Grand,False,3.221,3.168,65.287,62
2023,39003,Abergement-le-Petit,False,3.659,3.659,51.264,50
2023,39004,Abergement-lès-Thésy,False,2.73,2.73,50.915,51
2023,39006,Aiglepierre,False,4.413,4.413,429.071,436
2023,39007,Alièze,False,2.407,2.256,148.975,148
2023,39008,Amange,False,3.228,3.203,412.097,445
2023,39009,Andelot-en-Montagne,False,2.19,2.013,561.264,552
2023,39010,Andelot-Morval,False,1.403,0.869,91.974,91
2023,39011,Annoire,False,2.662,2.662,444.576,417
2023,39013,Arbois,False,4.453,4.453,3597.881,3193
2023,39014,Archelange,False,4.013,3.919,223.448,217
2023,39015,Ardon,False,3.79,3.259,125.617,113
2023,39016,Arinthod,False,3.292,3.292,1249.792,1131
2023,39017,Arlay,False,5.198,4.819,1215.963,1187
2023,39018,Aromas,False,1.466,1.466,611.074,609
2023,39019,Les Arsures,False,5.308,5.308,218.55,209
2023,39020,Arsure-Arsurette,False,2.388,2.161,103.756,99
2023,39021,La Chailleuse,False,1.616,1.494,631.516,592
2023,39022,Asnans-Beauvoisin,False,2.243,2.188,754.062,735
2023,39024,Audelange,False,4.008,3.88,266.043,263
2023,39025,Augea,False,1.908,1.292,303.554,272
2023,39026,Augerans,False,4.422,4.243,187.02,184
2023,39027,Augisey,False,0.814,0.814,188.777,183
2023,39028,Aumont,False,4.368,4.263,473.794,458
2023,39029,Aumur,False,3.214,3.105,394.204,385
2023,39030,Authume,False,5.035,4.859,879.235,856
2023,39031,Auxange,False,3.164,3.087,194.099,200
2023,39032,Avignon-lès-Saint-Claude,False,1.701,1.701,372.922,362
2023,39034,Balaiseaux,False,2.681,2.57,278.776,308
2023,39035,Balanod,False,2.27,1.15,333.764,344
2023,39037,Bans,False,3.45,3.296,189.675,188
2023,39038,Barésia-sur-l'Ain,False,3.558,3.558,138.128,144
2023,39039,La Barre,False,3.697,3.423,247.563,245
2023,39040,Barretaine,False,2.815,2.762,192.417,186
2023,39041,Baume-les-Messieurs,False,1.167,1.109,178.708,159
2023,39042,Baverans,False,3.751,3.631,487.152,497
2023,39043,Beaufort-Orbagna,False,2.152,1.734,1434.163,1444
2023,39045,Beffia,False,2.413,2.413,78.861,80
2023,39046,Bellecombe,False,5.079,5.079,82.114,74
2023,39047,Bellefontaine,False,1.539,1.539,512.13,505
2023,39048,Belmont,False,4.366,4.243,271.682,253
2023,39049,Bersaillin,False,4.447,4.289,400.799,406
2023,39050,Besain,False,2.443,2.266,167.941,156
2023,39051,Biarne,False,4.413,4.319,418.709,432
2023,39052,Bief-des-Maisons,False,3.164,2.709,74.153,72
2023,39053,Bief-du-Fourg,False,2.675,2.675,205.362,214
2023,39054,Biefmorin,False,2.519,2.357,89.967,97
2023,39055,Billecul,False,2.268,2.268,46.986,52
2023,39056,Bletterans,False,4.784,4.418,1708.527,1527
2023,39057,Blois-sur-Seille,False,0.747,0.747,113.469,100
2023,39058,Blye,False,4.051,4.051,175.402,166
2023,39059,Bois-d'Amont,False,2.833,2.347,1648.441,1653
2023,39060,Bois-de-Gand,False,3.216,3.058,63.748,58
2023,39061,Boissia,False,4.435,4.435,111.531,109
2023,39062,La Boissière,False,1.915,1.915,71.538,71
2023,39063,Bonlieu,False,3.081,2.854,237.557,234
2023,39065,Bonnefontaine,False,1.653,1.653,114.946,118
2023,39066,Bornay,False,2.475,2.174,188.75,180
2023,39068,Les Bouchoux,False,4.571,4.571,329.872,311
2023,39070,Bourg-de-Sirod,False,3.526,2.945,91.088,89
2023,39072,Bracon,False,3.731,3.731,381.026,311
2023,39073,Brainans,False,3.065,2.959,191.159,181
2023,39074,Brans,False,3.052,3.052,208.85,202
2023,39076,La Bretenière,False,2.513,2.36,210.665,219
2023,39077,Bretenières,False,1.561,1.452,51.914,44
2023,39078,Brevans,False,4.303,4.086,689.071,697
2023,39079,Briod,False,1.631,1.422,209.914,207
2023,39080,Broissia,False,0.76,0.639,65.695,59
2023,39081,Buvilly,False,3.801,3.748,399.194,394
2023,39083,Censeau,False,3.24,3.24,328.576,332
2023,39084,Cernans,False,3.707,3.707,141.076,141
2023,39085,Cerniébaud,False,2.71,2.71,84.654,90
2023,39086,Cernon,False,1.697,1.697,233.949,233
2023,39088,Cesancey,False,2.501,2.024,399.321,390
2023,39090,Chaînée-des-Coupis,False,2.366,2.31,185.173,186
2023,39091,Les Chalesmes,False,3.164,2.709,90.86,85
2023,39092,Chambéria,False,3.395,3.395,203.074,191
2023,39093,Chamblay,False,4.336,4.336,517.284,423
2023,39094,Chamole,False,2.366,2.366,166.167,160
2023,39095,Champagne-sur-Loue,False,3.692,3.692,123.869,120
2023,39096,Champagney,False,3.693,3.55,431.805,462
2023,39097,Champagnole,False,3.617,2.859,8678.143,8000
2023,39099,Champdivers,False,3.446,3.224,449.006,445
2023,39100,Champrougier,False,1.886,1.728,110.558,101
2023,39101,Champvans,False,5.12,4.902,1502.648,1461
2023,39102,Chancia,False,1.233,1.012,213.339,224
2023,39103,La Chapelle-sur-Furieuse,False,5.442,5.442,309.591,302
