code_insee,commune,apl_generalistes,apl_generalistes_moins65,pop_standardisee,pop_totale,annee
01001,L'Abergement-Clémenciat,1.89,1.828,810.855,806,2022
01002,L'Abergement-de-Varey,2.649,2.059,250.962,262,2022
01004,Ambérieu-en-Bugey,3.646,2.88,14002.685,14288,2022
01005,Ambérieux-en-Dombes,3.978,3.959,1733.232,1782,2022
01006,Ambléon,0.926,0.796,121.438,113,2022
01007,Ambronay,4.097,3.398,2717.709,2827,2022
01008,Ambutrix,3.526,2.94,727.861,768,2022
01009,Andert-et-Condon,3.921,3.532,342.427,324,2022
01010,Anglefort,1.96,1.867,1052.267,1101,2022
01011,Apremont,1.736,1.297,353.624,368,2022
01012,Aranc,1.127,1.127,342.266,327,2022
01013,Arandas,0.391,0.179,143.041,143,2022
01014,Arbent,2.552,2.076,3334.025,3336,2022
01015,Arboys en Bugey,2.856,2.414,684.917,663,2022
01016,Arbigny,1.893,1.893,454.142,458,2022
01017,Argis,1.172,0.538,449.526,445,2022
01019,Armix,0.0,0.0,27.471,26,2022
01021,Ars-sur-Formans,1.686,1.667,1426.93,1490,2022
01022,Artemare,3.188,3.058,1274.316,1213,2022
01023,Asnières-sur-Saône,1.18,1.164,76.292,76,2022
01024,Attignat,3.358,2.873,3180.709,3299,2022
01025,Bâgé-Dommartin,2.721,2.68,3922.788,4068,2022
01026,Bâgé-le-Châtel,3.422,3.365,1038.566,977,2022
01027,Balan,3.281,2.939,2317.555,2647,2022
01028,Baneins,1.887,1.772,602.074,625,2022
01029,Beaupont,2.836,1.929,680.981,683,2022
01030,Beauregard,3.728,3.464,789.821,821,2022
01031,Bellignat,3.167,2.324,3526.161,3671,2022
01032,Béligneux,1.698,1.439,3189.236,3414,2022
01033,Valserhône,1.871,1.656,15935.926,16434,2022
01034,Belley,3.822,3.328,9714.586,9207,2022
01035,Belleydoux,3.373,3.373,313.015,308,2022
01036,Valromey-sur-Séran,2.911,2.781,1418.09,1334,2022
01037,Bénonces,1.012,0.875,310.201,309,2022
01038,Bény,2.386,1.656,762.982,759,2022
01040,Béréziat,2.081,2.032,458.783,480,2022
01041,Bettant,3.741,2.988,748.247,748,2022
01042,Bey,2.381,2.273,279.702,291,2022
01043,Beynost,2.965,2.751,4756.252,4829,2022
01044,Billiat,0.993,0.851,595.2,628,2022
01045,Birieux,3.679,3.546,264.913,285,2022
01046,Biziat,1.8,1.769,872.094,912,2022
01047,Blyes,3.394,2.875,1156.955,1269,2022
01049,La Boisse,3.156,2.965,3223.945,3335,2022
01050,Boissey,1.416,1.416,358.264,380,2022
01051,Bolozon,0.489,0.415,101.951,91,2022
01052,Bouligneux,3.336,3.336,341.578,332,2022
01053,Bourg-en-Bresse,3.303,2.829,42551.305,41681,2022
01054,Bourg-Saint-Christophe,2.156,1.774,1373.211,1482,2022
01056,Boyeux-Saint-Jérôme,0.727,0.548,347.324,351,2022
01057,Boz,1.573,1.573,496.383,514,2022
01058,Brégnier-Cordon,1.326,0.975,814.839,819,2022
01060,Brénod,1.22,1.22,525.982,486,2022
01061,Brens,3.628,3.081,1118.674,1133,2022
01062,Bressolles,2.188,1.988,909.057,951,2022
01063,Brion,3.095,2.228,570.455,561,2022
01064,Briord,2.972,2.387,1016.523,1095,2022
01065,Buellas,2.478,2.256,1823.227,1825,2022
01066,La Burbanche,0.238,0.238,89.694,92,2022
01067,Ceignes,1.742,1.516,243.266,259,2022
01068,Cerdon,2.095,1.84,816.927,771,2022
01069,Certines,3.382,2.999,1451.317,1514,2022
01071,Cessy,2.722,2.574,4596.587,5045,2022
01072,Ceyzériat,3.388,2.957,3231.998,3202,2022
01073,Ceyzérieu,4.757,4.405,1029.3,995,2022
01074,Chalamont,2.992,2.611,2568.513,2574,2022
01075,Chaleins,2.507,2.292,1310.271,1402,2022
01076,Chaley,0.976,0.765,136.723,122,2022
01077,Challes-la-Montagne,0.901,0.826,196.773,192,2022
01078,Challex,1.524,1.176,1597.015,1597,2022
01079,Champagne-en-Valromey,1.985,1.985,935.533,822,2022
01080,Champdor-Corcelles,1.691,1.691,639.407,636,2022
01081,Champfromier,1.1,1.028,736.471,726,2022
01082,Chanay,0.603,0.603,579.122,637,2022
01083,Chaneins,2.339,2.11,911.727,965,2022
01084,Chanoz-Châtenay,1.713,1.683,875.802,921,2022
01085,La Chapelle-du-Châtelard,3.027,2.924,378.188,397,2022
01087,Charix,0.424,0.341,277.475,279,2022
01088,Charnoz-sur-Ain,2.706,2.344,864.977,902,2022
01089,Château-Gaillard,4.886,4.12,2112.899,2254,2022
01090,Châtenay,1.687,1.337,360.343,361,2022
01092,Châtillon-la-Palud,3.603,3.024,1572.353,1622,2022
01093,Châtillon-sur-Chalaronne,1.565,1.534,5356.632,4968,2022
01094,Chavannes-sur-Reyssouze,1.449,1.449,771.407,761,2022
