code_insee,commune,apl_generalistes,apl_generalistes_moins65,pop_standardisee,pop_totale,annee
33268,Margaux-Cantenac,4.93,4.66,2754.769,2831,2023
33269,Margueron,2.841,2.415,429.957,382,2023
33270,Marimbault,3.508,3.215,185.915,186,2023
33271,Marions,3.769,3.156,234.765,216,2023
33272,Marsas,3.934,3.694,1165.54,1226,2023
33273,Martignas-sur-Jalle,2.86,2.696,7694.487,7850,2023
33274,Martillac,3.438,3.301,3335.198,3504,2023
33275,Martres,3.319,2.966,108.21,100,2023
33276,Masseilles,5.262,4.649,147.132,137,2023
33277,Massugas,2.709,2.377,233.743,219,2023
33278,Mauriac,3.952,3.684,242.346,230,2023
33279,Mazères,5.058,4.628,739.001,783,2023
33280,Mazion,3.879,3.287,548.879,553,2023
33281,Mérignac,4.381,4.025,74403.163,75729,2023
33282,Mérignas,3.495,3.239,334.893,316,2023
33283,Mesterrieux,2.884,2.467,235.389,225,2023
33284,Mios,4.569,4.02,10698.134,11469,2023
33285,Mombrier,3.847,3.525,447.06,453,2023
33287,Mongauzy,3.773,3.069,663.827,645,2023
33288,Monprimblanc,3.554,3.239,299.611,280,2023
33289,Monségur,3.722,3.279,1851.167,1591,2023
33290,Montagne,4.196,3.652,1507.331,1525,2023
33291,Montagoudin,3.911,3.21,192.546,177,2023
33292,Montignac,3.211,2.904,139.802,135,2023
33293,Montussan,5.255,4.825,3293.656,3451,2023
33294,Morizès,3.399,2.837,545.424,537,2023
33295,Mouillac,3.326,3.048,91.675,88,2023
33296,Mouliets-et-Villemartin,2.999,2.665,1052.336,1025,2023
33297,Moulis-en-Médoc,4.806,4.726,1806.343,1908,2023
33298,Moulon,5.057,4.46,1019.925,1022,2023
33299,Mourens,3.582,3.268,382.566,386,2023
33300,Naujac-sur-Mer,3.167,2.962,1133.893,1086,2023
33301,Naujan-et-Postiac,4.194,3.777,617.172,626,2023
33302,Néac,4.999,4.328,346.482,330,2023
33303,Nérigean,4.446,4.005,878.449,842,2023
33304,Neuffons,3.353,2.901,151.018,139,2023
33305,Le Nizan,4.323,3.975,508.496,507,2023
33306,Noaillac,2.88,2.536,528.596,536,2023
33307,Noaillan,3.703,3.116,1637.434,1662,2023
33308,Omet,2.63,2.381,291.413,299,2023
33309,Ordonnac,1.804,1.408,497.511,489,2023
33310,Origne,2.569,2.079,179.175,189,2023
33311,Paillet,4.394,4.024,1171.583,1207,2023
33312,Parempuyre,3.303,2.946,9933.764,10142,2023
33314,Pauillac,3.673,3.377,5180.287,5098,2023
33315,Les Peintures,3.137,2.787,1626.965,1646,2023
33316,Pellegrue,2.802,2.406,950.287,900,2023
33317,Périssac,2.92,2.615,1180.145,1186,2023
33318,Pessac,4.282,3.949,64084.807,66760,2023
33319,Pessac-sur-Dordogne,3.186,2.79,479.119,443,2023
33320,Petit-Palais-et-Cornemps,2.448,2.251,716.357,731,2023
33321,Peujard,3.651,3.467,2055.168,2167,2023
33322,Le Pian-Médoc,4.516,4.239,6936.889,7105,2023
33323,Le Pian-sur-Garonne,5.448,4.928,941.896,949,2023
33324,Pineuilh,3.13,2.597,4860.487,4409,2023
33325,Plassac,3.468,2.932,990.834,939,2023
33326,Pleine-Selve,3.278,2.807,220.859,218,2023
33327,Podensac,4.985,4.371,3361.756,3285,2023
33328,Pomerol,5.081,4.341,630.071,598,2023
33329,Pompéjac,2.448,2.252,270.195,270,2023
33330,Pompignac,4.075,3.779,3371.346,3393,2023
33331,Pondaurat,3.707,3.272,477.63,458,2023
33332,Porchères,2.683,2.537,887.995,864,2023
33333,Le Porge,5.824,5.824,3331.778,3371,2023
33334,Portets,3.221,3.052,2674.121,2676,2023
33335,Le Pout,2.579,2.425,579.815,619,2023
33336,Préchac,3.672,3.062,1146.538,1040,2023
33337,Preignac,5.638,4.997,2191.871,2145,2023
33339,Prignac-et-Marcamps,3.618,3.449,1422.996,1420,2023
33341,Pugnac,4.677,4.325,2408.166,2392,2023
33342,Puisseguin,2.152,2.01,836.762,815,2023
33343,Pujols-sur-Ciron,4.909,4.228,860.802,884,2023
33344,Pujols,3.454,3.106,558.6,524,2023
33345,Le Puy,3.818,3.375,418.9,398,2023
33346,Puybarban,3.21,2.74,423.382,409,2023
33347,Puynormand,2.948,2.909,306.434,308,2023
33348,Queyrac,4.333,3.713,1459.776,1346,2023
33349,Quinsac,5.0,4.585,2201.968,2215,2023
33350,Rauzan,4.339,3.937,1355.375,1249,2023
33351,Reignac,3.813,3.414,1649.036,1622,2023
33352,La Réole,3.401,2.831,4482.968,4396,2023
33353,Rimons,3.582,3.211,207.434,197,2023
33354,Riocaud,2.482,2.106,197.343,196,2023
33355,Rions,4.888,4.321,1535.735,1500,2023
33356,La Rivière,3.579,3.127,415.157,418,2023
33357,Roaillan,4.087,3.627,1716.659,1777,2023
33358,Romagne,3.661,3.209,453.852,477,2023
33359,Roquebrune,3.35,2.897,290.622,282,2023
33360,La Roquille,3.477,2.909,320.848,312,2023
33361,Ruch,3.889,3.6,567.823,562,2023
33362,Sablons,3.515,3.019,1300.752,1310,2023
33363,Sadirac,2.676,2.549,4441.07,4687,2023
33364,Saillans,3.767,3.213,376.972,372,2023
33365,Saint-Aignan,3.701,3.235,205.429,197,2023
33366,Saint-André-de-Cubzac,4.154,3.905,12476.295,12854,2023
33367,Saint-André-du-Bois,4.723,4.306,440.932,431,2023
33369,Saint-André-et-Appelles,3.916,3.272,733.839,670,2023
33370,Saint-Androny,3.526,2.895,589.986,569,2023
33372,Saint-Antoine-du-Queyret,3.261,3.042,57.42,57,2023
33373,Saint-Antoine-sur-l'Isle,3.431,3.285,579.88,580,2023
33374,Saint-Aubin-de-Blaye,3.265,2.733,848.973,844,2023
33375,Saint-Aubin-de-Branne,3.179,2.77,403.881,379,2023
33376,Saint-Aubin-de-Médoc,3.891,3.74,7422.051,7583,2023
33377,Saint-Avit-de-Soulège,2.841,2.408,80.383,78,2023
33378,Saint-Avit-Saint-Nazaire,3.586,3.005,1534.851,1488,2023
33379,Saint-Brice,3.267,2.959,346.517,314,2023
33380,Val-de-Livenne,2.955,2.576,1867.768,1793,2023
33381,Saint-Caprais-de-Bordeaux,2.43,2.316,3386.631,3440,2023
33382,Saint-Christoly-de-Blaye,3.55,3.233,1936.421,1877,2023
33383,Saint-Christoly-Médoc,1.478,1.23,295.79,276,2023
33384,Saint-Christophe-des-Bardes,4.006,3.523,419.639,396,2023
33385,Saint-Christophe-de-Double,3.019,2.766,626.542,611,2023
33386,Saint-Cibard,2.269,2.22,195.086,192,2023
33387,Saint-Ciers-d'Abzac,2.468,2.138,1412.201,1513,2023
33388,Saint-Ciers-de-Canesse,3.627,3.131,748.034,760,2023
33389,Saint-Ciers-sur-Gironde,2.244,1.769,3251.1,3081,2023
33390,Sainte-Colombe,2.726,2.499,418.985,426,2023
33391,Saint-Côme,4.648,4.011,348.846,332,2023
33392,Sainte-Croix-du-Mont,5.022,4.692,837.923,845,2023
33393,Saint-Denis-de-Pile,4.302,3.648,5871.999,5816,2023
33394,Saint-Émilion,4.758,4.153,1849.273,1769,2023
33395,Saint-Estèphe,2.634,2.19,1636.381,1617,2023
33396,Saint-Étienne-de-Lisse,3.742,3.36,190.2,187,2023
33397,Sainte-Eulalie,4.967,4.546,4857.017,4925,2023
33398,Saint-Exupéry,2.591,2.169,161.045,170,2023
33399,Saint-Félix-de-Foncaude,3.285,2.805,307.53,290,2023
33400,Saint-Ferme,3.204,2.964,355.454,338,2023
33401,Sainte-Florence,3.892,3.533,148.277,147,2023
33402,Sainte-Foy-la-Grande,3.747,3.152,2812.85,2615,2023
33403,Sainte-Foy-la-Longue,3.338,2.863,132.22,137,2023
33404,Sainte-Gemme,2.834,2.45,211.611,194,2023
33405,Saint-Genès-de-Blaye,3.193,2.658,497.794,498,2023
33406,Saint-Genès-de-Castillon,2.363,2.181,391.067,371,2023
33407,Saint-Genès-de-Fronsac,2.309,2.158,888.384,933,2023
33408,Saint-Genès-de-Lombaud,3.219,3.0,373.927,384,2023
33409,Saint-Genis-du-Bois,3.061,2.753,89.617,86,2023
33411,Saint-Germain-de-Grave,4.235,3.931,153.388,149,2023
33412,Saint-Germain-d'Esteuil,3.169,2.657,1332.558,1315,2023
33413,Saint-Germain-du-Puch,4.821,4.411,2305.783,2276,2023
33414,Saint-Germain-de-la-Rivière,2.884,2.565,381.785,395,2023
33415,Saint-Gervais,3.954,3.7,1860.118,1948,2023
33416,Saint-Girons-d'Aiguevives,3.774,3.32,947.657,953,2023
33417,Sainte-Hélène,3.588,3.588,2818.857,3004,2023
33418,Saint-Hilaire-de-la-Noaille,3.004,2.434,388.814,378,2023
33419,Saint-Hilaire-du-Bois,3.303,2.822,86.329,80,2023
33420,Saint-Hippolyte,4.251,3.747,127.626,131,2023
33421,Saint-Jean-de-Blaignac,4.458,3.985,464.612,455,2023
33422,Saint-Jean-d'Illac,2.219,2.077,8699.493,9304,2023
33423,Saint-Julien-Beychevelle,4.582,4.394,599.632,616,2023
33424,Saint-Laurent-Médoc,4.188,3.977,4826.898,4940,2023
33425,Saint-Laurent-d'Arce,4.255,4.002,1480.562,1526,2023
33426,Saint-Laurent-des-Combes,4.389,3.885,256.612,237,2023
33427,Saint-Laurent-du-Bois,3.368,2.975,236.327,250,2023
33428,Saint-Laurent-du-Plan,3.358,2.883,90.097,83,2023
33429,Saint-Léger-de-Balson,3.149,2.606,321.337,319,2023
33431,Saint-Léon,3.356,3.053,304.407,312,2023
33432,Saint-Loubert,4.225,3.945,219.495,235,2023
33433,Saint-Loubès,3.921,3.66,9793.565,10005,2023
33434,Saint-Louis-de-Montferrand,2.447,2.183,2070.04,2144,2023
33435,Saint-Macaire,5.264,4.807,2081.958,2017,2023
33436,Saint-Magne,4.511,4.164,1122.413,1172,2023
33437,Saint-Magne-de-Castillon,2.947,2.642,2231.274,2090,2023
33438,Saint-Maixant,5.408,5.063,1975.981,2033,2023
33439,Saint-Mariens,4.098,3.77,1571.765,1628,2023
33440,Saint-Martial,3.741,3.35,235.843,235,2023
33441,Saint-Martin-Lacaussade,3.459,2.875,1182.838,1166,2023
33442,Saint-Martin-de-Laye,2.553,2.119,542.408,549,2023
33443,Saint-Martin-de-Lerm,2.913,2.432,164.89,157,2023
33444,Saint-Martin-de-Sescas,4.385,3.955,566.198,568,2023
33445,Saint-Martin-du-Bois,2.978,2.581,827.623,831,2023
33446,Saint-Martin-du-Puy,2.343,2.007,166.514,161,2023
33447,Saint-Médard-de-Guizières,2.704,2.502,2430.946,2389,2023
33448,Saint-Médard-d'Eyrans,4.423,4.213,3136.198,3263,2023
33449,Saint-Médard-en-Jalles,3.173,3.036,32220.282,32538,2023
33450,Saint-Michel-de-Castelnau,1.444,0.941,258.612,244,2023
33451,Saint-Michel-de-Fronsac,3.716,3.2,535.382,522,2023
33452,Saint-Michel-de-Rieufret,3.751,3.342,850.665,884,2023
33453,Saint-Michel-de-Lapujade,2.476,1.979,227.032,214,2023
33454,Saint-Morillon,1.921,1.889,1677.313,1786,2023
33456,Saint-Palais,2.238,1.86,507.069,492,2023
33457,Saint-Pardon-de-Conques,4.225,3.945,601.431,621,2023
33458,Saint-Paul,3.792,3.248,1036.197,1021,2023
33459,Saint-Pey-d'Armens,4.543,4.076,206.607,182,2023
33460,Saint-Pey-de-Castets,3.459,3.189,627.417,596,2023
33461,Saint-Philippe-d'Aiguille,1.938,1.844,390.193,382,2023
33462,Saint-Philippe-du-Seignal,3.658,3.053,549.538,501,2023
33463,Saint-Pierre-d'Aurillac,4.146,3.826,1365.999,1309,2023
33464,Saint-Pierre-de-Bat,3.356,3.053,292.473,285,2023
33465,Saint-Pierre-de-Mons,4.077,3.77,1223.352,1236,2023
33466,Saint-Quentin-de-Baron,3.673,3.314,2424.597,2675,2023
33467,Saint-Quentin-de-Caplong,2.919,2.487,268.0,246,2023
33468,Sainte-Radegonde,3.038,2.76,436.668,429,2023
33470,Saint-Romain-la-Virvée,3.201,2.866,925.346,922,2023
33471,Saint-Sauveur,4.172,3.759,1304.491,1258,2023
33472,Saint-Sauveur-de-Puynormand,1.991,1.907,363.128,366,2023
33473,Saint-Savin,3.251,3.08,3306.31,3347,2023
33474,Saint-Selve,3.353,3.133,3282.251,3578,2023
33475,Saint-Seurin-de-Bourg,3.241,2.899,401.757,412,2023
33476,Saint-Seurin-de-Cadourne,1.695,1.261,716.544,696,2023
33477,Saint-Seurin-de-Cursac,3.506,2.914,827.04,770,2023
33478,Saint-Seurin-sur-l'Isle,2.657,2.618,3456.223,3151,2023
33479,Saint-Sève,3.422,2.825,242.783,250,2023
33480,Saint-Sulpice-de-Faleyrens,4.396,3.825,1417.45,1319,2023
33481,Saint-Sulpice-de-Guilleragues,3.44,2.988,237.247,233,2023
33482,Saint-Sulpice-de-Pommiers,3.666,3.125,260.641,263,2023
33483,Saint-Sulpice-et-Cameyrac,3.606,3.352,4944.208,4879,2023
33484,Saint-Symphorien,3.88,3.337,1981.454,1824,2023
33485,Sainte-Terre,3.304,2.952,2011.474,1897,2023
33486,Saint-Trojan,3.704,3.306,369.052,366,2023
33487,Saint-Vincent-de-Paul,5.336,4.896,974.631,997,2023
33488,Saint-Vincent-de-Pertignas,3.743,3.461,360.07,339,2023
33489,Saint-Vivien-de-Blaye,4.055,3.725,360.419,360,2023
33490,Saint-Vivien-de-Médoc,3.989,3.629,2022.089,1796,2023
33491,Saint-Vivien-de-Monségur,3.529,3.046,424.266,398,2023
33492,Saint-Yzan-de-Soudiac,2.34,2.169,2368.466,2527,2023
33493,Saint-Yzans-de-Médoc,1.807,1.412,379.513,345,2023
33494,Salaunes,2.912,2.867,1136.911,1227,2023
33496,Sallebœuf,4.296,3.997,2760.2,2728,2023
33498,Salles,3.11,2.692,7690.762,7887,2023
33499,Les Salles-de-Castillon,1.804,1.755,334.102,323,2023
