CartoSanté; ; 
Référentiel géographique : France par bassin de vie / canton-ville; ; 
Code;Libellé;APL Médecins généralistes 2023
10003;Aix-Villemaur-Pâlis;2.2
10006;Arcis-sur-Aube;2.5
1001;Aix-Villemaur-Pâlis;1.6
1002;Arcis-sur-Aube;2
10033;Bar-sur-Aube;2.3
10034;Bar-sur-Seine;2.5
1004;Bar-sur-Seine;2
1005;Brienne-le-Château;3.7
1006;Creney-près-Troyes;3.3
10064;Brienne-le-Château;3.1
1008;Les Riceys;1.8
1010;Saint-André-les-Vergers;4.1
1011;Saint-Lyé;3
1013;Troyes-2;4.5
1014;Troyes-3;3.8
1015;Troyes-4;3.8
1017;Vendeuvre-sur-Barse;2.4
10268;Nogent-sur-Seine;2.3
10323;Romilly-sur-Seine;2.7
1099;Troyes;4.3
1103;Carcassonne-2;3
1104;Carcassonne-3;2.4
11049;Bram;2.8
1106;Les Basses Plaines de l'Aude;4.6
1107;Les Corbières;5.8
11076;Castelnaudary;2.9
1109;La Région Limouxine;1.2
1110;La Malepère à la Montagne Noire;3.5
11106;Coursan;3.3
1111;Narbonne-1;3.8
1112;Narbonne-2;2.5
1114;La Haute-Vallée de l'Aude;2.1
1115;Le Haut-Minervois;2.4
1116;Le Sud-Minervois;3.6
1117;Les Corbières Méditerranée;2.6
1118;La Montagne d'Alaric;3.8
1119;La Vallée de l'Orbiel;3.3
11203;Lézignan-Corbières;3.7
11206;Limoux;2.9
11266;Port-la-Nouvelle;3.1
11304;Quillan;2.7
11379;Sigean;3.3
11397;Trèbes;4.1
1198;Carcassonne;3.8
1199;Narbonne;4.8
1203;Causse-Comtal;3.2
1205;Ceor-Ségala;2.2
12052;Capdenac-Gare;2.6
12056;Baraqueville;3
12089;Decazeville;3.5
12096;Espalion;3.8
1210;Lot et Truyère;4
12119;Laguiole;3.9
12120;Laissac-Sévérac l'Église;3.7
1213;Monts du Réquistanais;2.8
12138;Marcillac-Vallon;3.3
1214;Nord-Lévezou;4.4
12145;Millau;3.6
12148;Montbazens;3.7
1215;Raspes et Lévezou;3.6
12169;Naucelle;4.3
1217;Rodez-2;5.5
1218;Rodez-Onet;3.6
12197;Réquista;2.5
12198;Rieupeyroux;2.9
12199;Rignac;3.5
12208;Saint-Affrique;2.6
1221;Vallon;2.2
12224;Saint Geniez d'Olt et d'Aubrac;3.1
12270;Sévérac d'Aveyron;2.8
12300;Villefranche-de-Rouergue;3.2
1299;Rodez;4.3
13022;Cassis;5.1
1303;Allauch;4.4
13035;Eyguières;3.1
13037;La Fare-les-Oliviers;4.4
1304;Arles;4.4
1305;Aubagne;4.4
13050;Lambesc;4.3
13051;Lançon-Provence;4.5
13053;Mallemort;3.7
1306;Berre-l'Étang;4
1307;Châteaurenard;3.7
13074;Peyrolles-en-Provence;3.5
13078;Port-Saint-Louis-du-Rhône;3.9
1308;La Ciotat;4.2
13080;Le Puy-Sainte-Réparade;3.7
13084;La Roque-d'Anthéron;3.4
13088;Le Rove;5.2
1309;Gardanne;4.4
13096;Saintes-Maries-de-la-Mer;7.6
13097;Saint-Martin-de-Crau;4.1
1310;Istres;2.9
13100;Saint-Rémy-de-Provence;4.2
13104;Sausset-les-Pins;3.3
13105;Sénas;5
1311;Marignane;4.4
13201;Marseille 1er Arrondissement;6.4
13202;Marseille 2e Arrondissement;5.2
13203;Marseille 3e Arrondissement;4.2
13204;Marseille 4e Arrondissement;5.3
13205;Marseille 5e Arrondissement;4.8
13206;Marseille 6e Arrondissement;6.9
13207;Marseille 7e Arrondissement;5.5
13208;Marseille 8e Arrondissement;5
13209;Marseille 9e Arrondissement;3.6
