Insee - Statistiques locales; ; 
Référentiel géographique : France par bassin de vie; ; 
Code;Libellé;Taux de pauvreté 2021
16015;Angoulême;16.4
16028;Barbezieux-Saint-Hilaire;14.6
16070;Chabanais;17.7
16073;Chalais;20.2
16078;Champniers;7.9
16085;Chasseneuil-sur-Bonnieure;18.9
16090;Châteauneuf-sur-Charente;11.2
16102;Cognac;12
16106;Confolens;22.5
16167;Jarnac;10.7
16206;Mansle-les-Fontaines;16.7
16281;La Rochefoucauld-en-Angoumois;13.1
16292;Ruffec;19.5
16366;Segonzac;10.9
17003;Aigrefeuille-d'Aunis;7.6
17024;Aulnay;18.5
17093;Le Château-d'Oléron;13.3
17131;Cozes;13.2
17140;Dolus-d'Oléron;12.1
17161;La Flotte;9.1
17168;Fouras;9.1
17172;Gémozac;12.9
17197;Jonzac;16.5
17218;Marans;10.1
17219;Marennes-Hiers-Brouage;13.3
17224;Matha;17
17236;Mirambeau;20.6
17240;Montendre;16.1
17241;Montguyon;17.2
17283;Pons;13.3
17299;Rochefort;13.5
17300;La Rochelle;11.9
17306;Royan;11.2
17347;Saint-Jean-d'Angély;15.5
17385;Saint-Pierre-d'Oléron;13
17397;Saint-Savinien;14.1
17415;Saintes;12.4
17421;Saujon;12.2
17434;Surgères;11.3
17452;La Tremblade;11.4
18015;Aubigny-sur-Nère;13.6
18033;Bourges;14.2
18057;Châteaumeillant;21.3
18087;Dun-sur-Auron;12.6
18108;La Guerche-sur-l'Aubois;17.3
18109;Henrichemont-Menetou-Salon;14.5
18127;Lignières;16.5
18141;Mehun-sur-Yèvre;9.1
18197;Saint-Amand-Montrond;16.7
18207;Saint-Florent-sur-Cher;11.8
18223;Saint-Martin-d'Auxigny;8.6
18242;Sancoins;21.1
18279;Vierzon;18.3
19010;Argentat-sur-Dordogne;16.7
19028;Bort-les-Orgues;15.6
19031;Brive-la-Gaillarde;13
19073;Égletons;16.2
19121;Lubersac;15.7
19138;Meyssac;14.7
19153;Objat;13
19255;Seilhac;11
19272;Tulle;12.6
19275;Ussel;14.3
19276;Uzerche;14.9
21023;Arnay-le-Duc;13.1
21038;Auxonne;10.6
21054;Beaune;9.3
21154;Châtillon-sur-Seine;16.1
21231;Dijon;13.2
21292;Genlis;7.2
21317;Is-sur-Tille;9.1
21416;Mirebeau-sur-Bèze;8.4
21425;Montbard;14.2
21464;Nuits-Saint-Georges;6.4
21501;Pouilly-en-Auxois;9.9
21584;Saulieu;16.3
21603;Semur-en-Auxois;12.4
21607;Seurre;9.2
21663;Venarey-les-Laumes;14.1
22004;Bégard;13.1
22020;Broons;12.5
22025;Callac;22.3
22050;Dinan;9.9
22054;Erquy;9.5
22055;Binic-Étables-sur-Mer;8.3
22070;Guingamp;14.9
22093;Lamballe-Armor;9.5
22113;Lannion;10.6
22121;Lanvollon;11.7
22136;Loudéac;13.1
22143;Matignon;8.7
22147;Merdrignac;15.5
22162;Paimpol;11.3
22172;Plancoët;10.6
22186;Pléneuf-Val-André;8.6
22194;Plestin-les-Grèves;11.6
22203;Plœuc-L'Hermitage;10.4
22206;Châtelaudren-Plouagat;9.5
22222;Plouha;10.9
22262;Quintin;8.8
22266;Rostrenen;19.5
22278;Saint-Brieuc;12.5
22362;Tréguier;13.1
23008;Aubusson;21.5
23013;Auzances;22.3
23025;Bonnat;19.5
23030;Bourganeuf;24.4
23031;Boussac;22.7
23075;Dun-le-Palestel;18.1
23076;Évaux-les-Bains;18
23096;Guéret;16.9
23176;La Souterraine;18.9
24037;Bergerac;16.9
24064;Brantôme en Périgord;14
24067;Le Bugue;19
24164;Excideuil;17.7
24167;Eymet;19.8
24223;Lalinde;16.7
24291;Montignac-Lascaux;21.1
24294;Montpon-Ménestérol;17
24299;Mussidan;17.3
24309;Neuvic;15
24311;Nontron;20.3
24322;Périgueux;13.8
24352;Ribérac;19.8
24372;Saint-Astier;13.7
24396;Saint-Cyprien;20.9
24520;Sarlat-la-Canéda;15.6
24547;Terrasson-Lavilledieu;17.6
24551;Thiviers;17.6
24571;Vergt;16.3
25047;Baume-les-Dames;11.7
25056;Besançon;16.3
25315;L'Isle-sur-le-Doubs;14.1
25356;Maîche;6.9
25388;Montbéliard;18.3
25411;Morteau;5.6
25434;Ornans;8.5
25462;Pontarlier;7.1
25463;Pont-de-Roide-Vermondans;7.7
25495;Roche-lez-Beaupré;8.3
25512;Le Russey;5.6
25527;Saint-Vit;7.9
25532;Saône;6.3
25578;Valdahon;8.3
26037;Beaumont-lès-Valence;7.1
26063;Buis-les-Baronnies;23
26064;Chabeuil;8.5
26108;Crest;14.5
26113;Die;21.8
26114;Dieulefit;19.4
26116;Donzère;12.5
26165;Livron-sur-Drôme;11.8
26176;Marsanne;11.2
26198;Montélimar;16
26220;Nyons;19.6
26235;Pierrelatte;20.6
26281;Romans-sur-Isère;13.7
26301;Saint-Donat-sur-l'Herbasse;10.2
26307;Saint-Jean-en-Royans;12.4
26324;Saint-Paul-Trois-Châteaux;11.9
26325;Saint-Rambert-d'Albon;14
26333;Saint-Vallier;13.9
26362;Valence;15.4
27016;Les Andelys;12.2
27051;Beaumont-le-Roger;12
27056;Bernay;14
27065;Beuzeville;10.8
27103;Bourg-Achard;7
27105;Grand Bourgtheroulde;5.4
27112;Breteuil;13.6
27116;Brionne;12
27165;Conches-en-Ouche;10.3
27170;Cormeilles;11.3
27198;Mesnils-sur-Iton;8.3
27226;Étrépagny;10.5
27229;Évreux;19
27246;Fleury-sur-Andelle;9.4
27275;Gaillon;11.4
27284;Gisors;11.9
27306;Guichainville;7.1
27375;Louviers;16.6
27428;Le Neubourg;7.9
27448;Pacy-sur-Eure;7
27467;Pont-Audemer;12.7
27469;Pont-de-l'Arche;8.5
27507;Saint-André-de-l'Eure;9.8
27679;Verneuil d'Avre et d'Iton;15.5
27681;Vernon;15.1
28007;Anet;6.9
28015;Auneau-Bleury-Saint-Symphorien;6.7
28051;Bonneval;9
28061;Brou;12.8
28085;Chartres;12.3
28088;Châteaudun;16.9
28089;Châteauneuf-en-Thymerais;7.7
28103;Cloyes-les-Trois-Rivières;10.7
28116;Courville-sur-Eure;7.3
28134;Dreux;17.8
28140;Épernon;6.5
28196;Illiers-Combray;8
28199;Janville-en-Beauce;9.6
28214;La Loupe;14.5
28227;Maintenon;5.7
28279;Nogent-le-Roi;8.1
28280;Nogent-le-Rotrou;13.7
28373;Senonches;13
28422;Les Villages Vovéens;9
29004;Bannalec;10.2
29019;Brest;13.3
29020;Briec;9.8
29024;Carhaix-Plouguer;15.9
29026;Châteaulin;11.3
29027;Châteauneuf-du-Faou;17.1
29039;Concarneau;10.5
29042;Crozon;10.7
29046;Douarnenez;11.9
29053;Le Faou;6.7
29058;Fouesnant;6.9
29069;Guilers;5.7
29103;Landerneau;7.1
29105;Landivisiau;10.9
29113;Lanmeur;10.7
29124;Lesneven;8.7
29147;Mellac;6.6
29150;Moëlan-sur-Mer;8.7
29151;Morlaix;12.3
29160;Plabennec;6.4
29162;Pleyben;13.6
29174;Plonéour-Lanvern;9.5
29178;Ploudalmézeau;7.1
29195;Plouguerneau;7.8
29197;Plouhinec;12.4
29199;Plouigneau;14.2
29218;Pont-Croix;11.6
29220;Pont-l'Abbé;9
29232;Quimper;11.4
29233;Quimperlé;9.8
29241;Rosporden;8.9
29259;Saint-Pol-de-Léon;10.5
29260;Saint-Renan;5.4
29274;Scaër;14.1
2A004;Ajaccio;14.2
2A041;Bonifacio;17.8
2A130;Grosseto-Prugna;14.1
2A247;Porto-Vecchio;19
2A249;Propriano;19.7
2A272;Sartène;23.9
2B033;Bastia;19.2
2B042;Borgo;19.6
2B050;Calvi;19.7
2B096;Corte;21.1
2B123;Ghisonaccia;26.2
2B134;L'Île-Rousse;20.8
2B207;Penta-di-Casinca;22.3
2B251;Prunelli-di-Fiumorbo;18.4
2B298;Saint-Florent;19.7
30003;Aigues-Mortes;15.5
30006;Aimargues;12.1
30007;Alès;21.6
30010;Anduze;19.5
30028;Bagnols-sur-Cèze;17.9
30029;Barjac;20.6
30032;Beaucaire;23.6
30034;Bellegarde;14.9
30037;Bessèges;31.8
30047;Bouillargues;12.4
30061;La Calmette;14.7
30062;Calvisson;9
30132;La Grand-Combe;30.6
30155;Manduel;13.5
30189;Nîmes;25
30202;Pont-Saint-Esprit;18.3
30210;Quissac;17.4
